skater_80,n_bgs,share_of_all
0,20,0.005425935973955507
1,30,0.008138903960933261
2,36,0.009766684753119913
3,11,0.002984264785675529
4,519,0.1408030385241454
5,344,0.09332609875203472
6,26,0.00705371676614216
7,17,0.004612045577862181
8,74,0.020075963103635377
9,303,0.08220293000542593
10,24,0.0065111231687466084
11,45,0.012208355941399891
12,62,0.016820401519262073
13,76,0.020618556701030927
14,22,0.005968529571351058
15,53,0.014378730330982095
16,38,0.010309278350515464
17,44,0.011937059142702116
18,189,0.051275094953879545
19,79,0.021432447097124253
20,34,0.009224091155724362
21,47,0.012750949538795442
22,41,0.01112316874660879
23,120,0.032555615843733045
24,46,0.012479652740097666
25,17,0.004612045577862181
26,86,0.02333152468800868
27,93,0.025230602278893108
28,10,0.0027129679869777536
29,44,0.011937059142702116
30,77,0.020889853499728703
31,14,0.0037981551817688553
32,36,0.009766684753119913
33,85,0.023060227889310905
34,23,0.006239826370048833
35,15,0.004069451980466631
36,40,0.010851871947911014
37,15,0.004069451980466631
38,33,0.008952794357026587
39,26,0.00705371676614216
40,12,0.0032555615843733042
41,10,0.0027129679869777536
42,14,0.0037981551817688553
43,12,0.0032555615843733042
44,24,0.0065111231687466084
45,10,0.0027129679869777536
46,12,0.0032555615843733042
47,28,0.007596310363537711
48,14,0.0037981551817688553
49,56,0.015192620727075421
50,16,0.004340748779164406
51,14,0.0037981551817688553
52,12,0.0032555615843733042
53,11,0.002984264785675529
54,13,0.00352685838307108
55,11,0.002984264785675529
56,19,0.005154639175257732
57,26,0.00705371676614216
58,22,0.005968529571351058
59,32,0.008681497558328812
60,78,0.021161150298426478
61,12,0.0032555615843733042
62,17,0.004612045577862181
63,19,0.005154639175257732
64,14,0.0037981551817688553
65,54,0.01465002712967987
66,12,0.0032555615843733042
67,24,0.0065111231687466084
68,13,0.00352685838307108
69,13,0.00352685838307108
70,19,0.005154639175257732
71,19,0.005154639175257732
72,11,0.002984264785675529
73,23,0.006239826370048833
74,12,0.0032555615843733042
75,15,0.004069451980466631
76,15,0.004069451980466631
77,11,0.002984264785675529
78,10,0.0027129679869777536
79,13,0.00352685838307108
